,full_name,line,movie,year,words,neg,neu,pos,compound
3110,STEVE ROGERS,"Dr. Erskine said that… the serum wouldn’t just effect my muscles, it would effect my cells. Create a protective system of regeneration and healing. Which means um…I can’t get drunk. Did you know that?",Captain America: The First Avenger,2011,34,0.068,0.873,0.059,-0.0772
3111,PEGGY CARTER,Your metabolism burns four times faster than the average person. He thought it could be one of the side effects.  It wasn’t your fault.,Captain America: The First Avenger,2011,25,0.105,0.895,0.0,-0.4019
3112,STEVE ROGERS,Did you read the reports?,Captain America: The First Avenger,2011,5,0.0,1.0,0.0,0.0
3113,PEGGY CARTER,Yes.,Captain America: The First Avenger,2011,1,0.0,0.0,1.0,0.4019
3114,STEVE ROGERS,Then you know that’s not true.,Captain America: The First Avenger,2011,6,0.318,0.682,0.0,-0.3252
3115,PEGGY CARTER,You did everything you could. Did you believe in your friend? Did you respect him?  Then stop blaming yourself. Allow Barnes the dignity of his choice. He damn well must have thought you were worth it.,Captain America: The First Avenger,2011,37,0.161,0.536,0.303,0.7319
3116,STEVE ROGERS,I’m goin’ after Schmidt. I’m not gonna stop till all of Hydra is dead or captured.,Captain America: The First Avenger,2011,16,0.213,0.693,0.094,-0.5286
3117,PEGGY CARTER,You won’t be alone.,Captain America: The First Avenger,2011,4,0.4,0.6,0.0,-0.25
3118,COL. CHESTER PHILLIPS,"Johann Schmidt belongs in a bug house. He thinks he’s a God. He’s willing to blow up half the world to prove it, starting with the USA.",Captain America: The First Avenger,2011,27,0.0,0.92,0.08,0.2732
3119,HOWARD STARK,"Schmidt’s working with powers beyond our capabilities. He gets across the Atlantic, he will wipe out the entire eastern sea board in an hour.",Captain America: The First Avenger,2011,24,0.0,1.0,0.0,0.0
3120,GABE JONES,How much time we got?,Captain America: The First Avenger,2011,5,0.0,1.0,0.0,0.0
3121,COL. CHESTER PHILLIPS,"According to my new best friend, under twenty four hours.",Captain America: The First Avenger,2011,10,0.0,0.519,0.481,0.8126
3122,JAQUES DERNIER,Where is he now?,Captain America: The First Avenger,2011,4,0.0,1.0,0.0,0.0
3123,COL. CHESTER PHILLIPS,Hydra’s last base is here.  In the Alps. Five hundred feet below the surface.,Captain America: The First Avenger,2011,15,0.0,1.0,0.0,0.0
3124,JIM MORITA,"So, what are we supposed to do. I mean, it’s not like we can just knock on the front door.",Captain America: The First Avenger,2011,20,0.105,0.895,0.0,-0.2755
3125,STEVE ROGERS,Why not? That’s exactly what we’re gonna do.,Captain America: The First Avenger,2011,8,0.0,1.0,0.0,0.0
3126,RED SKULL,"Arrogance may not be a uniquely American trait, but I must say you do it better than anyone. But there are limits to what even you can do, Captain. Or did Erskine tell you otherwise?",Captain America: The First Avenger,2011,35,0.059,0.837,0.104,0.3919
3127,STEVE ROGERS,He told me you were insane.,Captain America: The First Avenger,2011,6,0.351,0.649,0.0,-0.4019
3128,RED SKULL,"Ah. He resented my genius and tried to deny me what was rightfully mine. But he gave you everything. So, what made you so special?",Captain America: The First Avenger,2011,25,0.116,0.728,0.157,0.5001
3129,STEVE ROGERS,Nothin’. I’m just a kid from Brooklyn.  I can do this all day.,Captain America: The First Avenger,2011,14,0.0,1.0,0.0,0.0
3130,RED SKULL,"Oh, of course you can. Of course. But unfortunately I am on a tight schedule.",Captain America: The First Avenger,2011,15,0.205,0.795,0.0,-0.4767
3131,STEVE ROGERS,So am I!,Captain America: The First Avenger,2011,3,0.0,1.0,0.0,0.0
3132,JAMES MONTGOMERY FALSWORTH,Rogers! You might need this!,Captain America: The First Avenger,2011,5,0.0,1.0,0.0,0.0
3133,STEVE ROGERS,Thanks!,Captain America: The First Avenger,2011,1,0.0,0.0,1.0,0.4926
3134,JIM MORITA,"We’re in! Assault team, go!",Captain America: The First Avenger,2011,5,0.523,0.477,0.0,-0.658
3135,COL. CHESTER PHILLIPS,Move out!  Keep your spacing!,Captain America: The First Avenger,2011,6,0.0,1.0,0.0,0.0
3136,HYDRA SOLDIER,"Cutt off one head, two more shall…",Captain America: The First Avenger,2011,7,0.0,1.0,0.0,0.0
3137,COL. CHESTER PHILLIPS,Let’s go find two more!,Captain America: The First Avenger,2011,5,0.0,1.0,0.0,0.0
3138,STEVE ROGERS,You’re late.,Captain America: The First Avenger,2011,2,0.0,1.0,0.0,0.0
3139,PEGGY CARTER,Weren’t you about to…,Captain America: The First Avenger,2011,4,0.0,1.0,0.0,0.0
3140,STEVE ROGERS,Right.  Keep it steady!,Captain America: The First Avenger,2011,5,0.0,1.0,0.0,0.0
3141,PEGGY CARTER,Wait!  Go get him.,Captain America: The First Avenger,2011,5,0.0,1.0,0.0,0.0
3142,COL. CHESTER PHILLIPS,I’m not kissin’ you!,Captain America: The First Avenger,2011,4,0.0,1.0,0.0,0.0
3143,RED SKULL,"You don’t give up, do you?",Captain America: The First Avenger,2011,6,0.0,1.0,0.0,0.0
3144,STEVE ROGERS,Nope!,Captain America: The First Avenger,2011,1,0.0,1.0,0.0,0.0
3145,RED SKULL,"You could have the power of the gods! Yet you wear a flag on your chest and think you fight a battle of nations! I have seen the future, Captain! There are no flags!",Captain America: The First Avenger,2011,34,0.234,0.766,0.0,-0.8209
3146,STEVE ROGERS,Not my future!,Captain America: The First Avenger,2011,3,0.0,1.0,0.0,0.0
3147,RED SKULL,What have you done? No.,Captain America: The First Avenger,2011,5,0.355,0.645,0.0,-0.296
3148,STEVE ROGERS,Come in. This is Captain Rogers. Do you read me?,Captain America: The First Avenger,2011,10,0.0,1.0,0.0,0.0
3149,JIM MORITA,"Captain Rogers, what is your…",Captain America: The First Avenger,2011,5,0.0,1.0,0.0,0.0
3150,PEGGY CARTER,"Steve, is that you? Are you alright?",Captain America: The First Avenger,2011,7,0.0,0.718,0.282,0.3313
3151,STEVE ROGERS,Peggy! Schmidt’s dead.,Captain America: The First Avenger,2011,3,0.697,0.303,0.0,-0.68
3152,PEGGY CARTER,What about the plane?,Captain America: The First Avenger,2011,4,0.0,1.0,0.0,0.0
3153,STEVE ROGERS,That’s a little bit tougher to explain.,Captain America: The First Avenger,2011,7,0.0,0.779,0.221,0.1082
3154,PEGGY CARTER,"Give me your coordinates, I’ll find you a safe landing site.",Captain America: The First Avenger,2011,11,0.0,0.756,0.244,0.4404
3155,STEVE ROGERS,There’s not going to be a safe landing. But I can try and force it down.,Captain America: The First Avenger,2011,16,0.0,0.87,0.13,0.2382
3156,PEGGY CARTER,"I’ll get Howard on the line, he’ll know what to do.",Captain America: The First Avenger,2011,11,0.0,1.0,0.0,0.0
3157,STEVE ROGERS,There’s not enough time. This thing’s moving too fast and it’s heading for New York.  I gotta put her in the water.,Captain America: The First Avenger,2011,23,0.0,1.0,0.0,0.0
3158,PEGGY CARTER,"Please, don’t do this. We have time. We can work it out.",Captain America: The First Avenger,2011,12,0.0,0.827,0.173,0.3182
3159,STEVE ROGERS,"Right now I’m in the middle of nowhere. If I wait any longer a lot of people are gonna die. Peggy, this is my choice.  Peggy?",Captain America: The First Avenger,2011,27,0.145,0.855,0.0,-0.5994
3160,PEGGY CARTER,I’m here.,Captain America: The First Avenger,2011,2,0.0,1.0,0.0,0.0
3161,STEVE ROGERS,I’m gonna need a rain check on that dance.,Captain America: The First Avenger,2011,9,0.0,1.0,0.0,0.0
3162,PEGGY CARTER,"Alright. A week, next Saturday, at the Stork Club.",Captain America: The First Avenger,2011,9,0.0,0.778,0.222,0.25
3163,STEVE ROGERS,You got it.,Captain America: The First Avenger,2011,3,0.0,1.0,0.0,0.0
3164,PEGGY CARTER,Eight o’clock on the dot. Don’t you dare be late. Understood?,Captain America: The First Avenger,2011,11,0.0,1.0,0.0,0.0
3165,STEVE ROGERS,"You know, I still don’t know how to dance.",Captain America: The First Avenger,2011,9,0.0,1.0,0.0,0.0
3166,PEGGY CARTER,I’ll show you how. Just be there.,Captain America: The First Avenger,2011,7,0.0,1.0,0.0,0.0
3167,STEVE ROGERS,We’ll have the band play somethin’ slow. I’d hate to step on your…,Captain America: The First Avenger,2011,13,0.216,0.643,0.14,-0.3182
3168,PEGGY CARTER,Steve? Steve? Steve?,Captain America: The First Avenger,2011,3,0.0,1.0,0.0,0.0
3169,JAMES MONTGOMERY FALSWORTH,To the Captain.,Captain America: The First Avenger,2011,3,0.0,1.0,0.0,0.0
3170,STARK’S ENGINEER,Sir?,Captain America: The First Avenger,2011,1,0.0,1.0,0.0,0.0
3171,HOWARD STARK,Take us to the next grid point.,Captain America: The First Avenger,2011,7,0.0,1.0,0.0,0.0
3172,STARK’S ENGINEER,But there’s not trace of wreckage. And the energy signature stops here.,Captain America: The First Avenger,2011,12,0.131,0.687,0.182,0.1901
3173,HOWARD STARK,Just keep looking.,Captain America: The First Avenger,2011,3,0.0,1.0,0.0,0.0
3174,DODGERS ANNOUNCER,"Curve ball, high and outside for ball one. So the Dodgers are tied, 4-4. And the crowd well knows that with one swing of his bat, this fellow’s capable of making it a brand-new game again. Just an absolutely gorgeous day here at Ebbets Field. The Phillies have managed to tie up at 4-4. But the Dodgers have three men on. Pearson beaned Reiser in Philadelphia last month. Wouldn’t the youngster like a hit here to return the favour? Pete leans in. Here’s the pitch. Swung on. A line to the right. And it gets past Rizzo. Three runs will score. Reiser heads to third. Durocher’s going to wave him in. Here comes the relay, but they won’t get him.",Captain America: The First Avenger,2011,120,0.0,0.895,0.105,0.9021
3175,SHIELD AGENT,"Good morning.  Or should I say, afternoon?",Captain America: The First Avenger,2011,8,0.0,0.633,0.367,0.4404
3176,STEVE ROGERS,Where am I?,Captain America: The First Avenger,2011,3,0.0,1.0,0.0,0.0
3177,SHIELD AGENT,You’re in a recovery room in New York city.,Captain America: The First Avenger,2011,9,0.0,1.0,0.0,0.0
3178,DODGERS ANNOUNCER,"The Dodgers take the lead, 8-4. Oh, Dodgers! Everyone is on their feet. What a game we have here today, folks. What a game indeed.",Captain America: The First Avenger,2011,25,0.0,1.0,0.0,0.0
3179,STEVE ROGERS,Where am I really?,Captain America: The First Avenger,2011,4,0.0,1.0,0.0,0.0
3180,SHIELD AGENT,I’m afraid I don’t understand.,Captain America: The First Avenger,2011,5,0.0,1.0,0.0,0.0
3181,STEVE ROGERS,"The game, it’s from May, nineteen forty one. I know, cause I was there.  Now, I’m gonna ask you again. Where am I?",Captain America: The First Avenger,2011,24,0.0,1.0,0.0,0.0
3182,SHIELD AGENT,Captain Rogers…,Captain America: The First Avenger,2011,2,0.0,1.0,0.0,0.0
3183,STEVE ROGERS,Who are you?,Captain America: The First Avenger,2011,3,0.0,1.0,0.0,0.0
3184,SHIELD AGENT,"Captain Rogers, wait!  All agents, code 13! I repeat. All agents, code 13!",Captain America: The First Avenger,2011,14,0.0,1.0,0.0,0.0
3185,NICK FURY,"At ease, soldier! Look, I’m sorry about that little show back there, but… we thought it best to break it to you slowly.",Captain America: The First Avenger,2011,23,0.046,0.707,0.247,0.7712
3186,STEVE ROGERS,Break what?,Captain America: The First Avenger,2011,2,0.0,1.0,0.0,0.0
3187,NICK FURY,"You’ve been asleep, Cap. For almost seventy years.  You gonna be okay?",Captain America: The First Avenger,2011,13,0.0,0.853,0.147,0.2263
3188,STEVE ROGERS,Yeah. Yeah. I just…I had a date.,Captain America: The First Avenger,2011,7,0.0,0.405,0.595,0.5267
3189,NICK FURY,Trouble sleeping?,Captain America: The First Avenger,2011,2,0.73,0.27,0.0,-0.4019
3190,STEVE ROGERS,"You’re here with a mission, sir?",Captain America: The First Avenger,2011,6,0.0,1.0,0.0,0.0
3191,NICK FURY,I am.,Captain America: The First Avenger,2011,2,0.0,1.0,0.0,0.0
3192,STEVE ROGERS,Trying to get me back in the world?,Captain America: The First Avenger,2011,8,0.0,1.0,0.0,0.0
3193,NICK FURY,Trying to save it.,Captain America: The First Avenger,2011,4,0.0,0.484,0.516,0.4939
3194,THE OTHER,"The Tesseract has awakened. It is on a little world, a human world. They would wield its power. But our ally knows its workings as they never will. He is ready to lead. And our force... ...our Chitauri, will follow. The world will be his...the universe, yours. And the humans, what can they do but burn?",The Avengers,2012,56,0.0,0.942,0.058,0.5023
3195,INTERCOM VOICE,"All personnel, evacuation order has been confirmed. Proceed to your designated vehicles... ...for all campus evacuation. This is not a drill. Emergency personnel proceed to your designated vehicles for all campus evacuation.",The Avengers,2012,32,0.0,0.932,0.068,0.2924
3196,NICK FURY,How bad is it?,The Avengers,2012,4,0.538,0.462,0.0,-0.5423
3197,PHIL COULSON,"That’s the problem, sir. We don’t know. Doctor Selvig read an... ...energy surge from the Tesseract four hours ago.",The Avengers,2012,19,0.13,0.87,0.0,-0.4019
3198,NICK FURY,NASA didn’t authorize Selvig could go to test B.,The Avengers,2012,9,0.0,1.0,0.0,0.0
3199,PHIL COULSON,He wasn’t testing it. He wasn’t even in the room. Spontaneous event.,The Avengers,2012,12,0.0,1.0,0.0,0.0
3200,MARIA HILL,It just turned itself on?,The Avengers,2012,5,0.0,1.0,0.0,0.0
3201,NICK FURY,Where are the energy levels now?,The Avengers,2012,6,0.0,0.704,0.296,0.2732
3202,PHIL COULSON,Climbing. When Selvig couldn’t shut it down we ordered evac.,The Avengers,2012,10,0.0,1.0,0.0,0.0
3203,NICK FURY,How long to get everyone out?,The Avengers,2012,6,0.0,1.0,0.0,0.0
3204,PHIL COULSON,Campus should be clear in the next half hour.,The Avengers,2012,9,0.0,0.755,0.245,0.3818
3205,NICK FURY,Do better.,The Avengers,2012,2,0.0,0.256,0.744,0.4404
3206,MARIA HILL,"Sir, evacuation may be futile. ",The Avengers,2012,6,0.42,0.58,0.0,-0.4404
3207,NICK FURY,We should tell them to go back to sleep?,The Avengers,2012,9,0.0,1.0,0.0,0.0
3208,MARIA HILL,If we can’t control the Tesseract’s energy there may not be a minimum safe distance.,The Avengers,2012,15,0.146,0.727,0.127,-0.0788
3209,NICK FURY,I need you to make sure the Phase Two prototypes are shipped out.,The Avengers,2012,13,0.0,0.827,0.173,0.3182
3210,MARIA HILL,"Sir, is that really a priority right now? ",The Avengers,2012,9,0.0,1.0,0.0,0.0
3211,NICK FURY,Until such time as the world ends we will act as though it intends to spin on. Clear out the tech below. Every piece of Phase Two on a truck and gone.,The Avengers,2012,32,0.0,0.92,0.08,0.3818
3212,MARIA HILL,"Yes, Sir. With me.",The Avengers,2012,4,0.0,0.526,0.474,0.4019
3213,NICK FURY,"Talk to me, Doctor. ",The Avengers,2012,5,0.0,1.0,0.0,0.0
3214,ERIK SELVIG,Director.,The Avengers,2012,1,0.0,1.0,0.0,0.0
3215,NICK FURY,Is there anything we know for certain?,The Avengers,2012,7,0.0,0.741,0.259,0.2732
3216,ERIK SELVIG,The Tesseract is misbehaving.,The Avengers,2012,4,0.474,0.526,0.0,-0.4019
3217,NICK FURY,Is that supposed to be funny?,The Avengers,2012,6,0.0,0.633,0.367,0.4404
3218,ERIK SELVIG,"No, it’s not funny at all. The Tesseract is not only active, she’s misbehaving. ",The Avengers,2012,15,0.489,0.511,0.0,-0.8207
3219,NICK FURY,How soon can you pull the plug?,The Avengers,2012,7,0.0,1.0,0.0,0.0
3220,ERIK SELVIG,"She’s an energy source. We turn off the power, she turns it back on. If she reaches peak level- ",The Avengers,2012,20,0.0,0.837,0.163,0.3182
3221,NICK FURY,"We prepared for this, Doctor. Harnessing energy from space. ",The Avengers,2012,10,0.0,0.636,0.364,0.4588
3222,ERIK SELVIG,"We don’t have the harness. My calculations are far from complete. She’s throwing off interference, radiation. Nothing harmful, low levels of Gamma radiation. ",The Avengers,2012,24,0.0,0.924,0.076,0.2057
3223,NICK FURY,That can be harmful. Where’s agent Barton?,The Avengers,2012,7,0.0,1.0,0.0,0.0
3224,ERIK SELVIG,"The hawk? Up in his nest, as usual.",The Avengers,2012,8,0.0,1.0,0.0,0.0
3225,NICK FURY,Agent Barton. Report. I gave you this detail so you could keep a close eye on things.,The Avengers,2012,17,0.0,1.0,0.0,0.0
3226,CLINT BARTON,I see better from a distance.,The Avengers,2012,6,0.0,0.508,0.492,0.4404
3227,NICK FURY,Have you seen anything that might set this thing off?,The Avengers,2012,10,0.0,1.0,0.0,0.0
3228,NASA SCIENTIST,Doctor! It’s spiking again.,The Avengers,2012,4,0.0,1.0,0.0,0.0
3229,CLINT BARTON,"No one’s come and gone. And Selvig’s clean. No contacts, no IM. If there’s any tampering, sir, it wasn’t this end.",The Avengers,2012,21,0.251,0.646,0.103,-0.4404
3230,NICK FURY,At this end?,The Avengers,2012,3,0.0,1.0,0.0,0.0
3231,CLINT BARTON,"Yeah. The Cube is a doorway to the other end of space, right? Doors open from both sides.",The Avengers,2012,18,0.0,0.879,0.121,0.296
3232,ERIK SELVIG,What’s that?,The Avengers,2012,2,0.0,1.0,0.0,0.0
3233,NICK FURY,"Sir, please put down the spear!",The Avengers,2012,6,0.0,0.659,0.341,0.3802
3234,LOKI,You have heart. Please don’t. I still need that.,The Avengers,2012,9,0.0,0.753,0.247,0.3182
3235,NICK FURY,This doesn’t have to get any messier.,The Avengers,2012,7,0.0,1.0,0.0,0.0
3236,LOKI,"Of course it does. I’ve come too far for anything else. I am Loki, of Asgard. And I am burdened with glorious purpose.",The Avengers,2012,23,0.104,0.734,0.162,0.3612
3237,ERIK SELVIG,"Loki, brother of Thor? ",The Avengers,2012,5,0.0,1.0,0.0,0.0
3238,NICK FURY,We have no quarrel with your people.,The Avengers,2012,7,0.268,0.732,0.0,-0.296
3239,LOKI,An ant has no quarrel with a boot.,The Avengers,2012,8,0.268,0.732,0.0,-0.296
3240,NICK FURY,You planning to step on us?,The Avengers,2012,6,0.0,1.0,0.0,0.0
3241,LOKI,"I come with glad tidings, of a world made free. ",The Avengers,2012,11,0.0,0.488,0.512,0.743
3242,NICK FURY,Free from what?,The Avengers,2012,3,0.0,0.377,0.623,0.5106
3243,LOKI,"Freedom. Freedom is life’s great lie. Once you accept that, in your heart you will know peace.",The Avengers,2012,17,0.0,0.392,0.608,0.9618
3244,NICK FURY,"Yeah, you say peace. I kinda think you mean the other thing. ",The Avengers,2012,13,0.0,0.612,0.388,0.6908
3245,CLINT BARTON,"Sir, Director Fury is stalling. This place is about to blow and drop a hundred feet of rock on us. He means to bury us. ",The Avengers,2012,26,0.266,0.734,0.0,-0.765
3246,NICK FURY,Like the pharaohs of old.,The Avengers,2012,5,0.0,0.615,0.385,0.3612
3247,ERIK SELVIG,He’s right. The portal is collapsing in on itself. We’ve got maybe two minutes before this goes critical.,The Avengers,2012,18,0.22,0.78,0.0,-0.5423
3248,LOKI,Well then.,The Avengers,2012,2,0.0,0.323,0.677,0.2732
3249,CLINT BARTON,We need this vehicles.,The Avengers,2012,4,0.0,1.0,0.0,0.0
3250,MARIA HILL,Who’s that?,The Avengers,2012,2,0.0,1.0,0.0,0.0
3251,CLINT BARTON,Didn’t tell me.,The Avengers,2012,3,0.0,1.0,0.0,0.0
3252,NICK FURY,Hill! Do you copy? Barton...has turned. Get the Tesseract. Shut them down.,The Avengers,2012,12,0.0,1.0,0.0,0.0
3253,PHIL COULSON,"Let’s just go. No-no-no! Leave it, leave it. GO! We’re clear upstairs, sir... ...We need to go. Director. Director Fury, do you copy? ",The Avengers,2012,24,0.236,0.672,0.092,-0.4738
3254,NICK FURY,The Tesseract is with a hostile force. I have men down. Hill?,The Avengers,2012,12,0.224,0.776,0.0,-0.3818
3255,MARIA HILL,A lot of men still under. Don’t know how many survivors.,The Avengers,2012,11,0.0,1.0,0.0,0.0
3256,NICK FURY,Sound a general call. I want every living soul... ...not working rescue looking for that briefcase.,The Avengers,2012,16,0.0,0.723,0.277,0.5574
3257,MARIA HILL,Roger that.,The Avengers,2012,2,0.0,1.0,0.0,0.0
3258,NICK FURY,"Coulson, get back to base.  This is a level seven. As of right now... We are at war.",The Avengers,2012,19,0.196,0.804,0.0,-0.5994
3259,PHIL COULSON,What do we do?,The Avengers,2012,4,0.0,1.0,0.0,0.0
3260,GEORGI LUCHKOV,This isn’t how I wanted this evening to go.,The Avengers,2012,9,0.0,1.0,0.0,0.0
3261,NATASHA ROMANOFF,I know how you wanted this evening. Believe me this is better.,The Avengers,2012,12,0.0,0.775,0.225,0.4404
3262,GEORGI LUCHKOV,"Who are you working for? Lermentov, yes? Does he think we have to go through him to move our cargo?",The Avengers,2012,20,0.0,0.854,0.146,0.5007
3263,NATASHA ROMANOFF,I thought General Solohob is in charge of the export business.,The Avengers,2012,11,0.0,1.0,0.0,0.0
3264,GEORGI LUCHKOV,"Solohob. A bagman, a front. Your outdated information betrays you. The famous Black Widow is just another pretty face. ",The Avengers,2012,20,0.161,0.691,0.147,-0.0772
3265,NATASHA ROMANOFF,You really think I’m pretty?,The Avengers,2012,5,0.0,0.536,0.464,0.5367
3266,GEORGI LUCHKOV,Tell Lermentov we don’t need him to move the tanks. Tell him he is out. Well...You may have to write it.,The Avengers,2012,21,0.0,1.0,0.0,0.0
3267,WEASELLY THUG,It’s for her.,The Avengers,2012,3,0.0,1.0,0.0,0.0
3268,GEORGI LUCHKOV,You listen carefully-,The Avengers,2012,3,0.0,0.571,0.429,0.128
3269,PHIL COULSON,"You’re at 1- 14 Silensky Plaza, 3rd floor. We have an F-22 exactly eight miles out. Put the woman on the phone or I will blow up the block before you can make the lobby.  We need you to come in. ",The Avengers,2012,43,0.069,0.905,0.026,-0.4215
3270,NATASHA ROMANOFF,Are you kidding? I’m working.,The Avengers,2012,5,0.0,0.741,0.259,0.1027
3271,PHIL COULSON,This takes precedence.,The Avengers,2012,3,0.0,1.0,0.0,0.0
3272,NATASHA ROMANOFF,"I’m in the middle of an interrogation, and this moron is giving me everything. ",The Avengers,2012,15,0.207,0.661,0.132,-0.3291
3273,GEORGI LUCHKOV,I not- give everything.,The Avengers,2012,4,0.0,1.0,0.0,0.0
3274,NATASHA ROMANOFF,"Look, you can’t pull me out of this right now. ",The Avengers,2012,11,0.0,1.0,0.0,0.0
3275,PHIL COULSON,Natasha...Barton’s been compromised.,The Avengers,2012,3,0.0,1.0,0.0,0.0
3276,NATASHA ROMANOFF,Let me put you on hold. Where’s Barton now?,The Avengers,2012,9,0.0,1.0,0.0,0.0
3277,PHIL COULSON,We don’t know.,The Avengers,2012,3,0.0,1.0,0.0,0.0
3278,NATASHA ROMANOFF,But he’s alive?,The Avengers,2012,3,0.0,0.37,0.63,0.5267
3279,PHIL COULSON,"We think so.  We’ll brief you on everything when you get back. But first, we need you to talk to the big guy. ",The Avengers,2012,25,0.0,1.0,0.0,0.0
3280,NATASHA ROMANOFF,"Coulson, you know that Stark trusts me about as far as he can throw me. ",The Avengers,2012,16,0.0,0.819,0.181,0.4767
3281,PHIL COULSON,Oh I’ve got Stark! You get the big guy.,The Avengers,2012,9,0.0,1.0,0.0,0.0
3282,NATASHA ROMANOFF,My God.,The Avengers,2012,2,0.0,0.323,0.677,0.2732
3283,CALCUTTA WOMAN,Who are you? Get out! There is sickness here!,The Avengers,2012,9,0.0,1.0,0.0,0.0
3284,YOUNG GIRL,Are you the doctor? I need a doctor. My father. My father’s not waking up! He has a fever and he’s moaning but his eyes won’t open.,The Avengers,2012,27,0.061,0.939,0.0,-0.126
3285,BRUCE BANNER,Slow down.,The Avengers,2012,2,0.0,1.0,0.0,0.0
3286,YOUNG GIRL,My father-,The Avengers,2012,2,0.0,1.0,0.0,0.0
3287,BRUCE BANNER,Like them?,The Avengers,2012,2,0.0,0.286,0.714,0.3612
3288,YOUNG GIRL,Please!,The Avengers,2012,1,0.0,0.0,1.0,0.3802
3289,BRUCE BANNER,Should have got paid upfront Banner.,The Avengers,2012,6,0.0,1.0,0.0,0.0
3290,NATASHA ROMANOFF,"You know, for a man who’s supposed to be... ...avoiding stress, you picked a hell of a place to settle. ",The Avengers,2012,21,0.33,0.67,0.0,-0.8126
3291,BRUCE BANNER,Avoiding stress isn’t the secret.,The Avengers,2012,5,0.634,0.366,0.0,-0.6369
3292,NATASHA ROMANOFF,Then what is it? Yoga?,The Avengers,2012,5,0.0,1.0,0.0,0.0
3293,BRUCE BANNER,And you brought me to the end of the city. Smart.  I- uh- I assume the whole place is surrounded.,The Avengers,2012,21,0.0,0.87,0.13,0.4019
3294,NATASHA ROMANOFF,Just you and me.,The Avengers,2012,4,0.0,1.0,0.0,0.0
3295,BRUCE BANNER,"And your actress buddy? She a spy too, they start that wrong? ",The Avengers,2012,13,0.257,0.743,0.0,-0.5362
3296,NATASHA ROMANOFF,I did.,The Avengers,2012,2,0.0,1.0,0.0,0.0
3297,BRUCE BANNER,Who are you?,The Avengers,2012,3,0.0,1.0,0.0,0.0
3298,NATASHA ROMANOFF,Natasha Romanoff.,The Avengers,2012,2,0.0,1.0,0.0,0.0
3299,BRUCE BANNER,"Are you here to kill me, Ms Romanoff? ’Cause that’s not going to work out for everyone. ",The Avengers,2012,18,0.227,0.773,0.0,-0.6908
3300,NATASHA ROMANOFF,"No, no. Of course not. I’m here on behalf of SHIELD. ",The Avengers,2012,12,0.328,0.672,0.0,-0.5267
3301,BRUCE BANNER,SHIELD. How’d they find me?,The Avengers,2012,5,0.0,1.0,0.0,0.0
3302,NATASHA ROMANOFF,"We never lost you, Doctor. We’ve kept our distance, even helped keep some other interested parties off your scent. ",The Avengers,2012,20,0.0,0.685,0.315,0.7478
3303,BRUCE BANNER,Why?,The Avengers,2012,1,0.0,1.0,0.0,0.0
3304,NATASHA ROMANOFF,Nick Fury seems to trust you. But now we need you to come in.,The Avengers,2012,14,0.142,0.727,0.13,-0.0516
3305,BRUCE BANNER,What if I say no?,The Avengers,2012,5,0.423,0.577,0.0,-0.296
3306,NATASHA ROMANOFF,I’ll persuade you. ,The Avengers,2012,4,0.0,1.0,0.0,0.0
3307,BRUCE BANNER,And what if the- Other Guy says no?,The Avengers,2012,8,0.239,0.761,0.0,-0.296
3308,NATASHA ROMANOFF,You’ve been more than a year without an incident. I don’t think you want to break that streak.,The Avengers,2012,18,0.0,0.92,0.08,0.0772
3309,BRUCE BANNER,"Well, I don’t every time get what I want. ",The Avengers,2012,10,0.0,0.595,0.405,0.34
3310,NATASHA ROMANOFF,"Doctor, we’re facing a potential global catastrophe. ",The Avengers,2012,8,0.468,0.532,0.0,-0.6597
3311,BRUCE BANNER,Oh those I actively try to avoid.,The Avengers,2012,7,0.259,0.471,0.271,0.0258
3312,NATASHA ROMANOFF,This  is the Tesseract.  It has the potential energy to wipe out the planet.,The Avengers,2012,16,0.0,0.861,0.139,0.2732
3313,BRUCE BANNER,What does Fury want me to do? Swallow it?,The Avengers,2012,9,0.328,0.566,0.105,-0.5803
3314,NATASHA ROMANOFF,"He wants you to find it. It’s been taken. It emits a Gamma signature that’s too weak for us to trace. No one knows Gamma radiation like you do. If there was, that’s where I’d be. ",The Avengers,2012,37,0.129,0.808,0.063,-0.3818
3315,BRUCE BANNER,So Fury isn’t after the monster?,The Avengers,2012,6,0.444,0.556,0.0,-0.6115
3316,NATASHA ROMANOFF,Not that he’s told me.,The Avengers,2012,5,0.0,1.0,0.0,0.0
3317,BRUCE BANNER,And he tells you everything?,The Avengers,2012,5,0.0,1.0,0.0,0.0
3318,NATASHA ROMANOFF,"Talk to Fury, he needs you on this. ",The Avengers,2012,9,0.346,0.654,0.0,-0.5719
3319,BRUCE BANNER,He needs me in a cage?,The Avengers,2012,6,0.0,1.0,0.0,0.0
3320,NATASHA ROMANOFF,No one’s going to put you in a-,The Avengers,2012,8,0.239,0.761,0.0,-0.296
3321,BRUCE BANNER,STOP LYING TO ME!  I’m sorry. That was mean. I just wanted to see what you’d do.  Why don’t we do this the easy way where you don’t use that and the- Other Guy doesn’t make a mess? Okay?....Natasha.,The Avengers,2012,41,0.248,0.689,0.062,-0.8233
3322,NATASHA ROMANOFF,Stand down. We’re good here.,The Avengers,2012,5,0.0,0.58,0.42,0.4404
3323,BRUCE BANNER,Just you and me?,The Avengers,2012,4,0.0,1.0,0.0,0.0
